Time	Current
0.0	10.158655
5.0E-4	10.184171
0.0010	9.897468
0.0015	9.804255
0.0020	10.26502
0.0025000002	10.580559
0.0030000003	10.133433
0.0035000003	9.800304
0.0040	10.286694
0.0045000003	9.808293
0.0050000004	9.726034
0.0055000004	10.086293
0.0060000005	9.661349
0.0065000006	10.413185
0.0070000007	9.482142
0.0075000008	10.330687
0.0080	9.953325
0.0085	10.388154
0.009000001	10.341746
0.009500001	10.241159
0.010000001	9.601454
0.010500001	10.323449
0.011000001	9.790431
0.011500001	9.862613
0.012000001	9.677676
0.012500001	10.198284
0.013000001	10.068164
0.013500001	10.245608
0.014000001	9.863324
0.014500001	10.288217
0.015000001	1.8350024
0.015500001	2.3205066
0.016	2.3251858
0.0165	2.210014
0.016999999	2.2505987
0.017499998	2.1057816
0.017999997	1.945883
0.018499997	1.7098715
0.018999996	2.1377215
0.019499995	1.9141752
0.019999994	2.176385
0.020499993	2.2394385
0.020999992	1.7527407
0.021499991	1.7940686
0.02199999	2.0990064
0.02249999	1.8015099
0.022999989	1.768073
0.023499988	2.1764448
0.023999987	2.2810597
0.024499986	1.8798854
0.024999985	2.2560077
0.025499985	2.298798
0.025999984	2.0136302
0.026499983	2.202281
0.026999982	1.9703909
0.027499981	1.7211692
0.02799998	2.2350855
0.02849998	1.8322644
0.028999979	1.9408655
0.029499978	2.2731442
0.029999977	2.2413788
0.030499976	2.3392868
0.030999975	1.6745299
0.031499974	1.8492596
0.031999975	2.0776842
0.032499976	1.7137622
0.032999977	2.2738347
0.03349998	2.178513
0.03399998	2.4481814
0.03449998	1.6433594
0.03499998	1.8368695
0.035499983	2.2923524
0.035999984	2.096517
0.036499985	2.1809444
0.036999986	2.5071254
0.037499987	2.202712
0.037999988	2.200447
0.03849999	1.7101523
0.03899999	1.7703378
0.03949999	1.6779122
0.03999999	1.7105037
0.040499993	1.5177413
0.040999994	1.900739
0.041499995	2.268877
0.041999996	1.7384636
0.042499997	2.1409502
0.042999998	1.5499884
0.0435	1.9007125
0.044	1.8813202
0.0445	2.0879807
0.045	2.134914
0.045500003	1.9018172
0.046000004	2.4510422
0.046500005	2.2475157
0.047000006	2.2235951
0.047500007	2.1534345
0.048000008	1.9640273
0.04850001	1.6467376
0.04900001	1.7404566
0.04950001	2.1813178
0.050000012	2.082429
0.050500013	2.0988693
0.051000014	1.942076
0.051500015	2.3784366
0.052000016	2.2692218
0.052500017	1.7301998
0.053000018	1.7753773
0.05350002	1.8067183
0.05400002	2.2323308
0.05450002	2.090531
0.055000022	1.8642277
0.055500023	2.1072826
0.056000024	2.3915339
0.056500025	1.9036134
0.057000026	1.7604542
0.057500027	1.9701893
0.058000028	1.6886533
0.05850003	2.2170932
0.05900003	1.8929204
0.05950003	1.8868065
0.060000032	2.2938142
0.060500033	2.28855
0.061000034	2.2511897
0.061500035	2.1179986
0.062000036	2.102145
0.06250004	2.083159
0.06300004	1.7285622
0.06350004	1.8252283
0.06400004	1.663919
0.06450004	2.0955634
0.06500004	2.3173153
0.06550004	2.2320395
0.066000044	1.8822716
0.066500045	2.1623485
0.06700005	2.5035992
0.06750005	2.1707833
0.06800005	2.2722402
0.06850005	2.1622038
0.06900005	2.21049
0.06950005	1.590614
0.07000005	2.278698
0.07050005	1.9746908
0.071000054	1.4852164
0.071500055	2.0708573
0.07200006	1.8820359
0.07250006	1.5773808
0.07300006	1.9026413
0.07350006	1.7802061
0.07400006	1.7990757
0.07450006	2.3122706
0.07500006	1.9177811
0.07550006	2.216214
0.076000065	1.7579142
0.076500066	2.3412447
0.07700007	1.8105435
0.07750007	1.6042596
0.07800007	1.722625
0.07850007	2.2441473
0.07900007	2.1587434
0.07950007	2.0968924
0.08000007	1.82558
0.080500074	2.061908
0.081000075	2.0799522
0.081500076	1.893131
0.08200008	2.1375403
0.08250008	1.5400784
0.08300008	1.7140254
0.08350008	2.3552697
0.08400008	2.3061755
0.08450008	1.8339784
0.08500008	1.8619902
0.085500084	1.8515599
0.086000085	1.6324637
0.086500086	1.882789
0.08700009	1.7825553
0.08750009	1.7836546
0.08800009	2.229347
0.08850009	1.7953348
0.08900009	1.8985579
0.08950009	1.7888294
0.09000009	1.8466827
0.090500094	1.7862028
0.091000095	2.3172853
0.091500096	1.8355433
0.0920001	1.7181077
0.0925001	1.6691344
0.0930001	1.8436476
0.0935001	1.5656004
0.0940001	1.7105587
0.0945001	1.674073
0.0950001	2.0631387
0.095500104	1.907702
0.096000105	2.239004
0.096500106	1.6401207
0.09700011	1.7103392
0.09750011	2.1496785
0.09800011	2.1410956
0.09850011	2.3866146
0.09900011	1.5900316
0.09950011	2.1492682
0.10000011	1.8218013
0.100500114	1.9113927
0.101000115	2.0403771
0.10150012	1.7891747
0.10200012	2.1676714
0.10250012	1.8972319
0.10300012	2.187635
0.1035	9.7805805
0.104	10.353862
0.1045	10.168327
0.105000004	10.113942
0.105500005	9.905727
0.106	1.9137928
0.1065	1.8198172
0.107	1.8082619
0.1075	2.244587
0.108	1.8234894
0.108500004	1.7681844
0.109000005	1.7795765
0.109500006	1.864004
0.11000001	2.1310132
0.11050001	1.6802417
0.11100001	2.3256876
0.11150001	2.1763434
0.11200001	2.3726254
0.11250001	2.3156228
0.11300001	1.6440356
0.113500014	1.784029
0.114000015	2.370753
0.114500016	1.6597438
0.11500002	1.7434939
0.11550002	1.8044206
0.11600002	2.1192732
0.11650002	1.697
0.11700002	2.2493634
0.11750002	1.6735953
0.11800002	2.236453
0.118500024	1.6500556
0.119000025	1.805156
0.119500026	2.305131
0.12000003	1.8567984
0.12050003	2.2447731
0.12100003	1.6198155
0.12150003	1.6481061
0.12200003	1.4348423
0.12250003	1.8480461
0.12300003	1.7470236
0.123500034	1.8318368
0.124000035	2.361148
0.124500036	1.954204
0.12500003	1.7970449
0.12550002	2.296247
0.12600002	1.8516576
0.12650001	1.7136756
0.127	1.9265884
0.1275	2.1396766
0.12799999	1.8071983
0.12849998	1.9122443
0.12899998	1.9444156
0.12949997	2.4493375
0.12999997	1.7948819
0.13049996	1.6336105
0.13099995	2.3482988
0.13149995	1.8870511
0.13199994	2.1318824
0.13249993	1.8495116
0.13299993	2.3611443
0.1335	10.208564
0.13399999	10.317923
0.13449998	10.043948
0.13499998	10.254971
0.13549997	9.907674
0.13599996	9.694088
0.13649996	10.060713
0.13699995	9.929339
0.13749994	9.785086
0.13799994	9.765724
0.13849993	9.789344
0.13899992	10.20192
0.13949992	9.807638
0.13999991	10.156406
0.1404999	10.157103
0.1409999	10.381749
0.14149989	9.880136
0.14199989	10.20031
0.14249988	9.605101
0.14299987	9.971416
0.14349987	10.298687
0.14399986	10.095018
0.14449985	10.285706
0.14499985	9.750967
0.14549984	10.100221
0.14599983	10.174608
0.14649999	1.7959461
0.14699998	2.3543997
0.14749998	1.7343032
0.14799997	2.1556566
0.14849997	2.2043335
0.14899996	1.6339257
0.14949995	1.8381956
0.14999995	2.1889079
0.15049994	2.1059706
0.15099993	1.5670642
0.15149993	1.9025515
0.15199992	2.220102
0.15249991	2.2993426
0.15299991	2.0211308
0.1534999	1.9176935
0.1539999	2.1292589
0.15449989	2.3027785
0.15499988	2.1388931
0.15549988	2.170527
0.15599987	2.1263971
0.15649986	1.483283
0.15699986	1.8900039
0.15749985	2.21813
0.15799984	2.3176684
0.15849984	1.6343962
0.15899983	2.1987407
0.15949982	2.1909432
0.15999982	2.1191082
0.16049981	1.9031367
0.1609998	1.4412317
0.1614998	1.8208818
0.16199979	1.755862
0.16249979	2.0670242
0.16299978	2.2589948
0.16349977	2.0402539
0.16399977	2.43314
0.16449976	1.8195009
0.16499975	1.8413413
0.16549975	2.2483115
0.16599974	2.121772
0.16649973	1.7307693
0.16699973	1.8087624
0.16749972	1.782514
0.16799971	2.3423467
0.16849971	2.070657
0.1689997	1.8572407
0.1694997	1.8135469
0.16999999	9.841385
0.17049998	10.343097
0.17099997	10.1127
0.17149997	10.168696
0.17199996	9.822303
0.17249995	10.383707
0.17299995	9.6971445
0.17349994	10.535775
0.17399994	9.640959
0.17449993	10.052765
0.17499992	10.253092
0.17549992	9.662578
0.17599991	9.78864
0.1764999	9.859112
0.1769999	10.254594
0.17749998	2.1794467
0.17799997	1.737901
0.17849997	2.39961
0.17899996	1.8649297
0.17949995	2.1293635
0.17999995	2.3817647
0.18049994	2.1653776
0.18099993	1.9271088
0.18149993	2.158285
0.18199992	2.125897
0.18249992	2.3510208
0.18299991	2.2619596
0.1834999	2.12498
0.1839999	1.8048368
0.18449989	1.384641
0.18499988	1.9520212
0.18549988	2.0771124
0.18599987	1.7887373
0.18649986	2.2592866
0.18699986	2.3381286
0.18749985	1.8469805
0.18799984	2.149198
0.18849984	2.1882803
0.18899983	2.0033371
0.18949983	2.2062256
